,KZN WIFI HOTSPOTS,,,,,,,
,Area,Place ,Description/Mall/Centre ,Address,Provider,Time Limit,Data Capacity ,Extra Charges 
1,Amanzintoti,Access1-toti-elgro-ispot.co.za,Flats,37 Worlds View Close ,iSpot ,,,
2,Amanzintoti,ATKV Natalia Beach Resort ,Hotel,Elizaberth Avenue ,AlwaysOn,,,
3,Amanzintoti,Caltex Freshstop ,Garage ,34 Kingsway Road,Telkom,,,
4,Amanzintoti,Fresh Stop Toti Oasis ,Garage ,458 Andrew Zondo Road ,Telkom,,,
5,Amanzintoti,iSpot Southgate Amanzimtoti 1,,"Southgate, Amanzintoti ",iSpot ,,,
6,Amanzintoti,Makro ,Store ,Arbour Road  ,AlwaysOn,,,
7,Amanzintoti,Mugg & Bean ,Restaurant,Galleria Mall,Vast Networks ,,,
8,Amanzintoti,Mugg & Bean ,Restaurant,Galleria Mall,AlwaysOn,,,
9,Amanzintoti,Nedbank ,Bank,Galleria Mall,AlwaysOn,,,
10,Amanzintoti,Ninos,Restaurant ,Arbour Road  ,AlwaysOn,,,
11,Amanzintoti,Nu Metro ,Galleria Shopping Centre ,Moss Kolnik and Arbour Road ,Telkom ,,,
12,Amanzintoti,Plum Perfect,Interiors,22 Rockview Road ,Vast Networks ,,,
13,Amanzintoti,Telkom Direct Store ,Amanzintoti Mall,Beach Road ,Telkom ,,,
14,Amanzintoti,Telkom Direct Store ,Amanzintoti Mall,Beach Road ,Wireless G,,,
15,Amanzintoti,The View Guest Lodge ,Hotel,Hillside Road ,AlwaysOn,,,
16,Amanzintoti,Toti-agh-ppc-stellamaris-ispot.co.za,Hotel,73 Beach Road,iSpot ,,,
17,Amanzintoti,Toti-stm-ppc-stellamaris-ispot.co.za,Hotel,73 Beach Road,iSpot ,,,
18,Amanzintoti,Troubadour Coffee Shop,Restaurant,2 Abelia Road ,iSpot ,,,
19,Amanzintoti,Woolworths,Gallaria Mall,Arbour Road  ,Vast Networks ,,,
20,Avoca Hills,Dbn-avoca-granite-ispot.co.za,,Granite Grove ,iSpot ,,,
21,Avoca Hills,iSpot Avoca Hills Pomegranate,,Pomegranate Road,iSpot ,,,
22,Ballito ,Canelands Beach Club ,Hotel ,2 Shrimp Lane ,iSpot ,,,
23,Ballito ,Cinnamon And Silk Ballito,Restaurant ,5 Douglas Crowe Drive ,iSpot ,,,
24,Ballito ,Fairmont Zimbali Lodge ,Hotel,Zimbali Coastal Estate ,AlwaysOn,,,
25,Ballito ,Fairmont Zimbali Lodge ,Hotel,Zimbali Coastal Estate ,Vast Networks,,,
26,Ballito ,Glasfit ,Car Accessories Shop,Douglas Crow Drive ,Telkom ,,,
27,Ballito ,Hampshire Hotel,Hotel,Moffat Drive,-,Unlimited ,Uncapped ,
28,Ballito ,KFC ,Restaurant,9 Drive Inn Road ,Telkom,,,
29,Ballito ,Marshalls World of Sport ,Sport Store ,1 Moffat Drive ,Telkom ,,,
30,Ballito ,Milk Café ,Restaurant ,18 Compensation Beach Road ,-,Unlimited ,Uncapped ,
31,Ballito ,Mozambik,Boulevard Centre ,Compensation Road,Telkom ,,,
32,Ballito ,Mugg & Bean ,Restaurant ,Ballito Drive ,AlwaysOn,,,
33,Ballito ,Piccadeli-Ballito Hotspot,Restaurant,Ballito Junction Dolphin Coast ,iSpot ,,,
34,Ballito ,Primi Plantation ,Lifestyle Centre ,Cnr 398 and 445 Main Road ,-,60mis,Uncapped ,
35,Ballito ,Rage Fashion ,Ballito Junction,Leonora Drive ,Telkom ,,,
36,Ballito ,Salon Kerry-Lee ,Hair Salon ,14 Garlick Drive ,Telkom ,,,
37,Ballito ,Telkom Direct Store ,Lifestyle Centre ,Main Road ,Telkom ,,,
38,Ballito ,Tiger Wheel and Tyre ,Car Accessories Shop,M4 and Douglas Crowe ,Telkom ,,,
39,Ballito ,Tyre Track ,Car Accessories Shop,3581 Nandi Mthembu Drive ,Telkom,,,
40,Ballito ,Wimpy  ,Lifestyle Centre ,Main Road ,AlwaysOn,,,
41,Ballito ,Woolworths ,Ballito Bay Mall ,Ballito Bay Mall ,Vast Networks ,,,
42,Bayview,KFC ,Restaurant ,286 Lenny Naidu Drive ,Wireless G,,,
43,Beachwood ,Fairway Guest House,Hotel ,118 Fairway Road ,iSpot ,,,
44,Beachwood ,Fairway Guest House Hotspot,Hotel ,118 Fairway Road ,iSpot ,,,
45,Bellair,Bellair Hotel ,Hotel,956 Sarnia Road ,Telkom,,,
46,Bellair,Bellair Medical Centre,Hospital,251 Wakesleigh Road ,Telkom,,,
47,Berea ,Barcelos ,Restaurant ,134 Steve Biko Road ,Telkom,,,
48,Berea ,Berea Hair Studio ,Hair Salon ,Berea Road ,Telkom,,,
49,Berea ,Coastlands Holiday Resort ,Hotel,Dr Pixley KaSeme Street ,Vast Networks ,,,
50,Berea ,Coastlands Holiday Resort ,Hotel,Dr Pixley KaSeme Street ,AlwaysOn,,,
51,Berea ,Destiny Beauty Parlour and Laundromat,Beauty and Laundry ,198 Berea Road ,Telkom,,,
52,Berea ,Durban Curry House ,Restaurant ,288-290 Matthews Meyiwa Road ,Telkom,,,
53,Berea ,Fego Café ,St Augustines Hospital,107 Chemsford Rd,-,30mins ,Uncapped ,
54,Berea ,Indian Connection ,Restaurant ,485 Lillian Ngoyi Road ,-,Unlimited ,Uncapped ,
55,Berea ,iSpot Hotspot SilverVause GW,,Vause Road ,iSpot ,,,
56,Berea ,Jimmys Killer Fish and Chips ,Caminettoes Building ,201 Sparks Road ,-,Unlimited ,30MB ,
57,Berea ,KFC ,Restaurant,171 Berea Road ,Telkom,,,
58,Berea ,KFC ,Berea Shopping Centre,257 Berea Road ,Telkom,,,
59,Berea ,KFC ,Restaurant ,249 Berea Road ,Wireless G,,,
60,Berea ,KFC ,Restaurant ,32 Berea Road,Wireless G,,,
61,Berea ,Mamma Lucianas Restaurant,Restaurant,Anton Lembede Street ,Vast Networks ,,,
62,Berea ,Mimmos ,Musgrave Shopping Centre ,115 Musgrave Road ,Telkom ,,,
63,Berea ,NSA Coffee Shop ,Restaurant ,166 Bulwer Road ,-,Unlimited ,Uncapped ,
64,Berea ,Peg,Restaurant ,214 Essenwood Road ,-,Unlimited ,Uncapped ,
65,Berea ,SA Clinics ,Clinic ,Cowey Centre ,Telkom ,,,
66,Berea ,Sicas Guest House - Main,Hotel,19 Owen Avenue,iSpot ,,,
67,Berea ,Sicas Guest House - The Loft MT,Hotel,35 Tighard Avenue ,iSpot ,,,
68,Berea ,Stamford Car Wash ,Car Wash ,269 Matthew Meyiwa Road,Telkom ,,,
69,Berea ,Wimpy  ,Murchies Passage ,Murchies Passage ,AlwaysOn,,,
70,Berea ,Wimpy  ,Murchies Passage ,Murchies Passage ,Vast Networks,,,
71,Berea ,Zig Zag,Berea Shopping Centre ,Berea Road ,Telkom,,,
72,Bergville ,Tyremart,Car Accessories ,41 Broadway Street ,Telkom,,,
73,Bothas Hill,Total Garage ,Garage ,241 Old Main Road,Telkom ,,,
74,Botha's Hill,Gonglok Restaurant,Restaurant ,63 Old Main Road ,Telkom,,,
75,Briardene ,Supa Quick ,Car Accessories Shop,1451 North Coast Road,Telkom ,,,
76,Broadway,KFC ,Restaurant ,8 Swapo Road ,Wireless G,,,
77,Cato Manor ,Inkosi Albert Luthuli Central Hospital,Hospital,800 Bellair Road,Vast Networks ,,,
78,Cato Manor ,Inkosi Albert Luthuli Central Hospital,Hospital,800 Bellair Road,Public Access ,,,
79,Cato Ridge ,Engen 1 Stop ,Garage ,N3 National Road,Telkom,,,
80,Chatsworth,Chatsworth Fragrance Market,Market,12 Fragrance Street ,Public Access ,,,
81,Chatsworth,KFC ,Chatsworth Shopping Centre ,17 Joyhurst Street ,-,Unlimited ,30MB ,
82,Chatsworth,KFC ,Restaurant ,17 Joyhurst Street ,Wireless G,,,
83,Chatsworth,Ricochets ,Pool Bar ,200 Chatsworth Main Road ,Wireless G,,,
84,Chatsworth,Take n Pay Chatsworth,Store ,47 Business Square ,iSpot ,,,
85,Chatsworth,TDS Chatsworth,Chatsworth Shopping Centre ,17 Joyhurst Street ,Telkom ,,,
86,Chatsworth,Telkom Direct Store ,Chatsworth Shopping Centre ,17 Joyhurst Street ,Wireless G,,,
87,Chatsworth,Virgin Store ,Chatsworth Shopping Centre ,17 Joyhurst Street ,-,Unlimited ,30MB ,
88,Chatsworth,Wimpy  ,Chatsworth Shopping Centre ,17 Joyhurst Street ,-,Unlimited ,30MB ,
89,Che Guevara ,KFC ,Restaurant ,171 Berea Road ,Wireless G,,,
90,Chesterville ,Chesterville Regional Office ,Office ,Off Wiggins Road ,Public Access ,,,
91,Clairwood,KFC ,Restaurant ,650 South Coast Road ,Wireless G,,,
92,Clermont ,Clermont Library ,Library ,59 Zazi Road ,Public Access ,,,
93,Crossways ,Panaji,Restaurant,320 Marine Drive ,Telkom ,,,
94,Davenport,KFC ,Restaurant ,89 Helen Joseph Road ,Wireless G,,,
95,Davenport,TDS Davenport ,Davenport Square ,89 Helen Joseph Road ,Telkom ,,,
96,Davenport,Telkom Direct Store ,Davenport Square ,Brand Road ,Wireless G,,,
97,Dolphin Coast,Salt Rock Hotel ,Hotel,59 Basil Hulett Drive ,Vast Networks ,,,
98,Dundee ,Fish and Chips Co ,Restaurant ,27 Oldacre Street,Telkom,,,
99,Dundee ,Nedbank Boxer ,Store ,Victoria Street ,Vast Networks ,,,
100,Dundee ,Nedbank Boxer ,Store ,Victoria Street ,AlwaysOn,,,
101,Dundee ,The Lapha B&B,Hotel,Tatham Street ,Vast Networks ,,,
102,Durabn,Waterfront1,Hotel ,40 Mahatma Gandhi Road,iSpot ,,,
103,Durban,Accept Internet Cafe,Internet Café ,,iSpot ,,,
104,Durban,McCarthy VW,Car Dealership ,Jaco Place,Vast Networks ,,,
105,Durban,New Riviera Hotspot,Hotel,127 Margaret Mncadi Ave,iSpot ,,,
106,Durban ,Adams Mission Library ,Library ,D995 Sheleni Road ,Public Access ,,,
107,Durban ,Budget Car Rental,Car Rental,108 Bram Fisher Road ,Telkom,,,
108,Durban ,Butterworth Hotel,Hotel,15 Field Street ,Telkom,,,
109,Durban ,Café Gossip ,Restaurant ,3 Aliwal Street ,Telkom,,,
110,Durban ,Café Valentino ,Marine on Point ,Browns Road ,Telkom,,,
111,Durban ,Charlys Pub,Pub,102 Victoria EMR ,Telkom,,,
112,Durban ,Circus Circus ,Restaurant ,Dr Yusuf Dadoo Street ,Vast Networks ,,,
113,Durban ,Cominettos Purple ,Restaurant ,Monty Naicker Street ,Telkom,,,
114,Durban ,Debonairs,Restaurant ,140 Joe Slovo Street ,Telkom,,,
115,Durban ,Debonairs,Restaurant ,192 Grey Street,Telkom,,,
116,Durban ,Durban City Hall ,City Hall ,Anton Lembede Street ,Public Access ,,,
117,Durban ,Durban Labour Court ,Court ,Anton Lembede Street ,Wireless G ,,,
118,Durban ,Famegos ,Restaurant ,18 Boatmans Road,Telkom,,,
119,Durban ,Full Tank Garage ,Garage ,89 Flanders Drive,Wireless G,,,
120,Durban ,Gugu Dlamini Park ,Park,Samora Micheal Street ,Public Access ,,,
121,Durban ,Hair Sensation ,Hilton Hotel,14 Walnut Road,Telkom ,,,
122,Durban ,Hungry Lion ,Restaurant ,Cnr Victoria and Field Street ,-,Unlimited ,30MB ,
123,Durban ,Hungry Lion ,Restaurant ,36 Durban Road ,-,Unlimited ,30MB ,
124,Durban ,Hungry Lion ,Restaurant ,Brickhill and Seaview Road ,-,Unlimited ,30MB ,
125,Durban ,Hungry Lion ,Britannia Shopping Centre ,424 West Street,-,Unlimited ,30MB ,
126,Durban ,IJH Dental,Dentist ,36 Bertha Mkhisze Street ,Telkom,,,
127,Durban ,KFC ,Restaurant,Ushaka Marine World,Telkom,,,
128,Durban ,KFC ,Restaurant ,63 Alice Street ,Wireless G,,,
129,Durban ,KFC ,Restaurant ,26 Beatrice Street ,Wireless G,,,
130,Durban ,KFC ,Restaurant ,99 Broad Street ,Wireless G,,,
131,Durban ,KFC ,Restaurant ,145 Field Street ,Wireless G,,,
132,Durban ,KFC ,Restaurant ,209 Grey Street ,Wireless G,,,
133,Durban ,KFC ,Restaurant ,1-5 RD Naidu Drive ,Wireless G,,,
134,Durban ,KFC ,Restaurant ,201 Sparks Road ,Wireless G,,,
135,Durban ,KFC ,Restaurant ,349 West Street ,Wireless G,,,
136,Durban ,McDonalds ,Restaurant ,Old Fort and Soldiersway ,Telkom ,,,
137,Durban ,McDonalds ,Restaurant ,Cnr West and Field Street ,-,Unlimited ,30MB ,
138,Durban ,Medwood Gardens ,Gardens ,Monty Naicker Street ,Public Access ,,,
139,Durban ,MJs Xclusive Har Salon ,Hair Salon ,1 Bell Street ,Telkom ,,,
140,Durban ,Ninos,Mutual Mall ,Dr Pixley KaSeme Street ,Vast Networks ,,,
141,Durban ,Ninos,Mutual Mall ,Dr Pixley KaSeme Street ,AlwaysOn,,,
142,Durban ,Pie City ,Restaurant ,115 Victoria Street ,Telkom ,,,
143,Durban ,Pirates Arms ,Whilsons Wharf ,14 Boatsman Road,-,Unlimited ,30MB ,
144,Durban ,Rivieria Hotel ,Hotel,Margret Mncadi Street ,Telkom ,,,
145,Durban ,Rivieria Hotel ,Hotel,Margret Mncadi Street ,Vast Networks ,,,
146,Durban ,Superbets Durban ,Sports Betting ,Joe Slovo Drive ,AlwaysOn,,,
147,Durban ,TDS Durban ,Store,320 West Street ,Telkom ,,,
148,Durban ,Telkom Direct Store ,Store,320 Dr Pixley KaSeme Street ,Telkom ,,,
149,Durban ,Telkom Direct Store ,Store,320 West Street ,Wireless G,,,
150,Durban ,The Big Apple Pizza Company ,Restaurant ,507 Lilian Ngoyi Road ,Telkom ,,,
151,Durban ,The Oyster Bar ,Bar,18 Boatmans Road ,Telkom ,,,
152,Durban ,Uminini Regional Centre,Office,Danganya on R102 ,Public Access ,,,
153,Durban ,Wimpy  ,Workshop Centre,Dr A B Xuma Street ,AlwaysOn,,,
154,Durban ,Wimpy  ,Workshop Centre,Dr A B Xuma Street ,Telkom  ,,,
155,Durban ,Wimpy  ,Workshop Centre,Dr A B Xuma Street ,Vast Networks ,,,
156,Durban ,Beach Hotel Internet,-,Marine Parade,iSpot ,,,
157,Durban ,Gourmet Grill,Restaurant ,-,iSpot ,,,
158,Durban ,Speedinet Hotspot 1,Internet Services,15 Monty Naicker Street ,iSpot ,,,
159,Durban ,Tekweni BP,Back Packers Hostel,169 Nineth Avenue ,iSpot ,,,
160,Durban ,Gooderson Tropicana MT,Hotel,85 O R Tambo Parade,iSpot ,,,
161,Durban ,Wimpy,Restaurant,137 Lower Marine Parade ,iSpot ,,,
162,Durban ,West Street Internet,Internet Services,West Street ,iSpot ,,,
163,Durban North ,Access-1-dbn-nrt-ken-poe-ispot.co.za,,Kenneth Kaunda Road ,iSpot ,,,
164,Durban North ,Adega ,Restaurant ,534 Peter Mokaba Street ,Telkom,,,
165,Durban North ,Alans Hair Dressers ,Kensignton Square,53 Adelaid Tambo Drive ,Telkom,,,
166,Durban North ,Bargin Wheel and Tyre ,Car Accessories Shop,425 Umgeni Road ,Telkom,,,
167,Durban North ,Bombay Blue ,Astra Centre ,16 Swap Road ,Telkom,,,
168,Durban North ,Continental Butcher Baker Deli,Butchery,171 Sandile Thusi Road ,Telkom,,,
169,Durban North ,Debonairs ,Restaurant ,2 Royal Palm Avenue ,Telkom,,,
170,Durban North ,Glasfit ,Car Accessories Shop,948 Umgeni Road ,Telkom ,,,
171,Durban North ,iSpot Base Broadway,,"Broadway, Durban North ",iSpot ,,,
172,Durban North ,KFC ,Northway Shopping Centre,17 Northway Drive ,Telkom,,,
173,Durban North ,KFC ,Restaurant ,87 Umhlanga Rocks Drive ,Wireless G,,,
174,Durban North ,KFC ,Restaurant ,17 Kenneth Kaundra Road ,Wireless G,,,
175,Durban North ,La Pearl Hair ,Hair Salon,150 Florida Road ,Telkom ,,,
176,Durban North ,Mintys Tyres ,Car Accessories Shop,1199 Umgeni Road ,Telkom ,,,
177,Durban North ,North Beach,Beach ,North Beach ,Public Access ,,,
178,Durban North ,North Beach Tourism ,Beach ,North Beach ,Public Access ,,,
179,Durban North ,Panaji,Restaurant ,68 Kensington Drive ,Telkom ,,,
180,Durban North ,Piatto,Restaurant ,140 Florida Road ,Telkom ,,,
181,Durban North ,RJ's Restaurant,Restaurant ,Waterkant Road ,Telkom ,,,
182,Durban North ,Royal Vulcanizing Station ,Car Accessories Shop,1153 Umgeni Road,Telkom ,,,
183,Durban North ,Santana Hair ,Kensignton Square,53 Adelaid Tambo Drive ,-,Unlimited ,30MB ,
184,Durban North ,Shell Garage Carwash Hotspot,Carwash,19 Waterkant Road ,iSpot ,,,
185,Durban North ,Vida e cafe,Restaurant ,19 Waterkant Road ,iSpot ,,,
186,Durban North ,Skycafe and Sports Bar ,Restaurant ,25 Silver Avenue ,Telkom ,,,
187,Durban North ,Specialist Dermatologist ,Dermatologist ,56 Chelsea Drive ,Telkom ,,,
188,Durban North ,Supa Quick ,Car Accessories Shop,19 Waterkant Road ,Telkom ,,,
189,Durban North ,Super Tyres ,Car Accessories Shop,565 Umgeni Road ,Telkom ,,,
190,Durban North ,Total Garage ,Garage ,13 Broadway Road ,Telkom ,,,
191,Durban North ,Wheel and Steel ,Car Accessories Shop,672 Umgeni Road ,Telkom ,,,
192,Durban South ,Engen Panda Carwash,Garage ,Roland Chapman Drive ,AlwaysOn,,,
193,Durban South ,Engen Panda Carwash,Garage ,Roland Chapman Drive ,Vast Networks ,,,
194,Durban South ,Spur ,Cedar Falls ,27 Titren Road ,Telkom ,,,
195,Durban South ,Ultimate Autocare Car Wash ,Car Wash ,371 Stella Road ,Telkom,,,
196,Empangeni ,Debonairs ,Wyetts Centre ,108 Rex Henderson Drive,Telkom,,,
197,Empangeni ,Fishaways ,Fiveways Mall,Rex Hanserson Avenue ,Telkom,,,
198,Empangeni ,McDonalds,Restaurant,John Ross Highway,Vast Networks ,,,
199,Empangeni ,Nedbank ,Bank,John Ross Highway,Vast Networks ,,,
200,Empangeni ,Nedbank ,Empangeni Market ,4 Weightman Avenue,AlwaysOn,,,
201,Empangeni ,Nedbank ,Empangeni Market ,4 Weightman Avenue,Vast Networks ,,,
202,Empangeni ,Ngwenya Service Station,Garage ,John Ross Highway,Vast Networks ,,,
203,Escourt ,Barcelos,Restaurant ,167 Albert Street,Telkom,,,
204,Escourt ,Budget Car Rental ,Car Rental,1 Ntabammhlope Road,Telkom,,,
205,Escourt ,Engen 1 Stop ,Garage ,Old Main Road,Telkom,,,
206,Escourt ,Honchos,Restaurant ,180 Albert Street ,Telkom,,,
207,Escourt ,Nedbank,Bank,Harding Road,AlwaysOn,,,
208,Escourt ,Nedbank,Bank,Harding Road,Vast Networks ,,,
209,Escourt ,Nedbank Boxer ,Store ,Alexandra Street ,Vast Networks ,,,
210,Escourt ,Nedbank Boxer ,Store ,Alexandra Street ,AlwaysOn,,,
211,Escourt ,Wimpy ,Restaurant ,Richmond Road,AlwaysOn,,,
212,Escourt ,Wimpy ,Restaurant ,Richmond Road,Vast Networks ,,,
213,Eshowe ,Hungry Lion ,Restaurant,1 Osborne Road,Telkom,,,
214,Eshowe ,KFC ,Restaurant ,102 Osborn Road ,Wireless G,,,
215,Eshowe ,KFC ,Restaurant ,2 Osborn Road ,Wireless G,,,
216,Eshowe ,McDonalds ,Restaurant ,Turnbull Street ,AlwaysOn,,,
217,Eshowe ,Nedbank ,Bank ,Osborne Road ,AlwaysOn,,,
218,Eshowe ,Nedbank ,Bank ,Osborne Road ,Vast Networks ,,,
219,Eshowe ,Tyre Mart ,Car Accessories Shop,27 Mango Sutho Buthelezi Drive,Telkom,,,
220,Essenwood,City View Shopping Centre,Shopping Centre ,Umgeni Road ,Vast Networks ,,,
221,Essenwood,Damelin,Training Centre ,92 Overport Drive,Telkom,,,
222,eThekwini ,Chicken Licken,Phoenix Plaza ,"19 Parthenon Street, Shop 44",Telkom,,,
223,Fredville,Fredville Regional Office ,Office ,Michael Gwala Community Centre,Public Access ,,,
224,Gamalekhe ,Total Garage,Garage ,112 Gamalakhe Road,Telkom ,,,
225,Gillespie,KFC ,Restaurant ,50 West Street ,Wireless G,,,
226,Glenashley ,Caltex Freshstop ,Garage ,Newport Avenue ,AlwaysOn,,,
227,Glenashley ,Caltex Freshstop ,Garage ,Newport Avenue ,Vast Networks ,,,
228,Glenashley ,Comics ,The Corner ,40 Newport Avenue,Telkom,,,
229,Glenashley ,Pashas Restaurant ,Glen Ashley Centre ,37 New Part Avenue ,Telkom ,,,
230,Glenashley ,Total Garage ,Garage ,13 Umhlanga Rocks Drive ,Telkom ,,,
231,Glenashley ,Wimpy,Restaurant ,Lynn Avenue ,AlwaysOn,,,
232,Glenmore ,KFC ,Restaurant,233 Francios Road ,Telkom,,,
233,Glenmore ,Sintus Café ,Restaurant ,19 Farmon Road ,Telkom ,,,
234,Glenwood,BL Hair Designs ,Hair Salon ,77 Helen Joseph Road ,Telkom,,,
235,Glenwood,Debonairs ,Restaurant ,316 Queenmary Avenue ,Telkom,,,
236,Glenwood,Jumeli Café,Restaurant ,175 Clark Road ,Telkom ,,,
237,Glenwood,Sir Harveys B&B ,Hotel,242 JB Marks Road ,Telkom ,,,
238,Glenwood,Tenacity Hair and Beauty Salon ,Hair Salon ,392 Ester Roberts Road,Telkom ,,,
239,Greytown,KFC,Restaurant ,Cnr Bell and Sergesnt Street ,Telkom,,,
240,Greytown,Wimpy,Restaurant,160 Pine Street ,Vast Networks ,,,
241,Greytown,Wimpy,Restaurant,160 Pine Street ,AlwaysOn,,,
242,Greyville ,Ascot Park Hospital ,Hospital ,3 Ascot Street ,Telkom,,,
243,Greyville ,Ayoba Bed and Breakfast,Hotel,38 Beatruce Street ,Telkom,,,
244,Greyville ,City Hospital,Hospital ,83 Lome Street ,Telkom,,,
245,Greyville ,Cuba Lounge ,Bar ,44 Isaiah Ntshangase Road ,Telkom,,,
246,Greyville ,Durban Girls Secondary School ,High School ,3331 Gladys Manzi Road ,telkom,,,
247,Greyville ,Gandhi Mandela Nursing Academy ,Training Centre ,52 Lome Street ,Telkom,,,
248,Greyville ,Hair Sensation ,City View ,10 Matthews Meyiwa Road ,Telkom ,,,
249,Greyville ,KFC ,Restaurant ,26 Beatrice Street ,Telkom ,,,
250,Greyville ,KFC ,Restaurant ,Stamford Hill Road ,Telkom,,,
251,Greyville ,KFC ,Restaurant ,Stamford Hill Road ,Wireless G,,,
252,Greyville ,Pie Corner ,Restaurant ,56 Charlotte Maxeke Street ,Telkom ,,,
